Price,# Bedroom,# Bathroom,size(square feet),homeType,address,Date,Today
"$449,998",2,1,9,-,"110 Shore Blvd APT 3K, Brooklyn, NY 11235",NAN,2021-10-19
"$549,999",2,2,8,-,"73 Burgher Ave, Staten Island, NY 10304",NAN,2021-10-19
"$450,000",2,2,1,-,"17-85 215th St #2H, Bayside, NY 11360",NAN,2021-10-19
"$849,000",4,2,1,-,"9464 Sutter Ave, Jamaica, NY 11417",NAN,2021-10-19
"$564,900",2,2,1,-,"2400 Johnson Ave APT 5K, Bronx, NY 10463",NAN,2021-10-19
"$650,000",3,2,1,-,"4020 Harper Ave, Bronx, NY 10466",NAN,2021-10-19
"$1,350,000",4,3,1,-,"34-30 112th St, Corona, NY 11368",NAN,2021-10-19
"$250,000",1,1,7,-,"32-20 92nd St #D310, East Elmhurst, NY 11369",NAN,2021-10-19
"$399,000",NAN,NAN,NAN,NAN,"85 Sumner Ave, Staten Island, NY 10314",NAN,2021-10-19
"$268,000",1,1,7,-,"3825 Parsons Blvd APT 1I, Flushing, NY 11354",NAN,2021-10-19
"$189,000",1,1,8,-,"2160 Bronx Park E APT 4K, Bronx, NY 10462",NAN,2021-10-19
"$380,000",3,2,1,-,"340 E Mosholu Pkwy S #2H, Bronx, NY 10458",NAN,2021-10-19
"$789,999",3,3,-,-,"87-23 139th St, Jamaica, NY 11435",NAN,2021-10-19
"$319,000",1,1,8,-,"1053 E 13th St APT B1, Brooklyn, NY 11230",NAN,2021-10-19
"$1,850,000",2,2,1,-,"255 W 95th St APT 6D, New York, NY 10025",NAN,2021-10-19
"$1,499,000",-,3,2,-,"1125 74th St, Brooklyn, NY 11228",NAN,2021-10-19
"$1,495,000",1,2,1,-,"425 Park Ave S APT 18D, New York, NY 10016",NAN,2021-10-19
"$1,995,000",5,4,2,-,"4834 Beach 48 St, Brooklyn, NY 11224",NAN,2021-10-19
"$239,000",1,1,-,-,"67-12 Yellowstone Blvd APT D9, Forest Hills, NY 11375",NAN,2021-10-19
"$625,000",2,2,-,-,"8959 Vanderveer St, Jamaica, NY 11427",NAN,2021-10-19
"$1,995,000",5,3,2,-,"4834 Beach 48th St, Brooklyn, NY 11224",NAN,2021-10-19
"$450,000",1,1,8,-,"31-85 Crescent St #104, Astoria, NY 11106",NAN,2021-10-19
"$949,000",4,2,2,-,"480 Minnieford Ave, Bronx, NY 10464",NAN,2021-10-19
"$609,900",3,3,1,-,"44 Heusden St, Staten Island, NY 10303",NAN,2021-10-19
"$575,000",1,1,7,-,"779 Riverside Dr APT A63, New York, NY 10032",NAN,2021-10-19
"$715,000",1,1,6,-,"35-40 30th St #5J, Astoria, NY 11106",NAN,2021-10-19
"$4,495,000",3,3,-,-,"830 Park Ave #4/5C, New York, NY 10021",NAN,2021-10-19
"$14,295,000",5,7,-,-,"1965 Broadway #26/27D, New York, NY 10023",NAN,2021-10-19
"$7,350,000",4,5,-,-,"830 Park Ave #2/3A, New York, NY 10021",NAN,2021-10-19
"$5,495,000",3,4,2,-,"3 E 71st St #7/8C, New York, NY 10021",NAN,2021-10-19
"$999,999",5,3,-,-,"111-19 Lefferts Blvd, South Ozone Park, NY 11420",NAN,2021-10-19
"$668,000",3,3,1,-,"40 Goller Pl, Staten Island, NY 10314",NAN,2021-10-19
"$899,000",6,5,2,-,"650 Lamoka Ave, Staten Island, NY 10312",NAN,2021-10-19
"$4,395,000",4,4,2,-,"212 Warren St APT 11L, New York, NY 10282",NAN,2021-10-19
"$520,000",3,3,1,-,"98 Wenlock St, Staten Island, NY 10303",NAN,2021-10-19
"$279,000",2,1,-,-,"46-30 215th Pl #1B, Bayside, NY 11361",NAN,2021-10-19
"$1,068,000",4,3,-,-,"84-46 117th St, Kew Gardens, NY 11415",NAN,2021-10-19
"$1,099,990",6,4,2,-,"149-55 259th St, Rosedale, NY 11422",NAN,2021-10-19
"$839,000",6,2,2,-,"103-20 168th Pl, Jamaica, NY 11433",NAN,2021-10-19
"$829,999",4,5,-,-,"112-11 197th St, Saint Albans, NY 11412",NAN,2021-10-19
"$379,997",2,1,-,-,"14103 79th Ave APT 2K, Flushing, NY 11367",NAN,2021-10-19
"$900,000",7,5,3,-,"4417A Richardson Ave, Bronx, NY 10470",NAN,2021-10-19
"$1,800,000",4,4,2,-,"23 Fairview Pl, Brooklyn, NY 11226",NAN,2021-10-19
"$1,800,000",2,1,6,-,"92 Perry St APT 5, New York, NY 10014",NAN,2021-10-19
"$587,000",4,2,-,-,"129-30 154th St, Jamaica, NY 11434",NAN,2021-10-19
"$9,700,000",6,2,-,-,"204 Ellery St, Brooklyn, NY 11206",NAN,2021-10-19
"$499,000",1,1,-,-,"308 Mott St APT 3F, New York, NY 10012",NAN,2021-10-19
"$2,325,000",3,4,1,-,"24 Central Park S #5W, New York, NY 10019",NAN,2021-10-19
"$319,000",1,1,1,-,"2506 Davidson Ave APT 6C, Bronx, NY 10468",NAN,2021-10-19
"$1,528,000",9,6,3,-,"14137 84th Dr, Jamaica, NY 11435",NAN,2021-10-19
"$569,000",1,2,1,-,"26910 Grand Central Pkwy APT 11D, Floral Park, NY 11005",NAN,2021-10-19
"$899,000",1,2,-,-,"400 E 56th St APT 33E, New York, NY 10022",NAN,2021-10-19
"$1,750,000",2,2,1,-,"220 E 65th St APT 7H, New York, NY 10065",NAN,2021-10-19
"$219,000",2,1,9,-,"89-35 155th Ave #6E, Howard Beach, NY 11414",NAN,2021-10-19
"$975,000",2,2,-,-,"70-25 Yellowstone Blvd #24J, Forest Hills, NY 11375",NAN,2021-10-19
"$1,100,000",9,6,-,-,"155-65 116th Dr, Jamaica, NY 11434",NAN,2021-10-19
"$428,000",1,1,-,-,"85-04 63rd Dr #1J, Rego Park, NY 11374",NAN,2021-10-19
"$6,999,500",8,1,6,-,"1366 70th St, Brooklyn, NY 11228",NAN,2021-10-19
"$1,280,000",6,1,-,-,"9606 34th Ave, Flushing, NY 11368",NAN,2021-10-19
"$1,100,000",1,1,8,-,"510 Driggs Ave #5H, Brooklyn, NY 11211",NAN,2021-10-19
"$1,700,000",2,2,1,-,"510 Driggs Ave #3A, Brooklyn, NY 11211",NAN,2021-10-19
"$299,000",3,2,2,-,"1034 E 212th St, Bronx, NY 10469",NAN,2021-10-19
"$671,000",3,2,1,-,"2928 W 5th St APT 6P, Brooklyn, NY 11224",NAN,2021-10-19
"$319,000",S,1,-,-,"45 Tudor City Pl APT 512, New York, NY 10017",NAN,2021-10-19
"$349,000",S,1,9,-,"508 E 78th St APT 5M, New York, NY 10075",NAN,2021-10-19
"$2,175,000",2,3,1,-,"321 W 78th St APT 5D, New York, NY 10024",NAN,2021-10-19
"$1,895,000",3,3,-,-,"70 E 96th St APT 5A, New York, NY 10128",NAN,2021-10-19
"$4,199,999",2,3,1,-,"641 5th Ave #33D, New York, NY 10022",NAN,2021-10-19
"$399,000",S,1,3,-,"119 E 30th St APT 1F, New York, NY 10016",NAN,2021-10-19
"$768,000",2,1,-,-,"157-57 9th Ave, Beechhurst, NY 11357",NAN,2021-10-19
"$299,999",2,1,-,-,"144-22 78th Ave APT 2J, Flushing, NY 11367",NAN,2021-10-19
"$837,000",3,2,1,-,"61-51 75th Pl, Middle Village, NY 11379",NAN,2021-10-19
"$949,000",3,3,-,-,"108-15 101st Ave, South Richmond Hill, NY 11419",NAN,2021-10-19
"$700,000",1,1,-,-,"250 Mercer St APT C518, New York, NY 10012",NAN,2021-10-19
"$575,000",3,2,1,-,"13816 233rd St, Jamaica, NY 11422",NAN,2021-10-19
"$680,000",4,3,2,-,"288 E 201st St, Bronx, NY 10458",NAN,2021-10-19
"$1,200,000",5,2,1,-,"8741 25th Ave, Brooklyn, NY 11214",NAN,2021-10-19
"$7,395,000",3,4,3,-,"53 W 53rd St #48B, New York, NY 10019",NAN,2021-10-19
"$7,465,000",2,3,2,-,"565 Broome St #N27B, New York, NY 10013",NAN,2021-10-19
"$7,950,000",3,4,2,-,"565 Broome St #N27A, New York, NY 10013",NAN,2021-10-19
"$229,000",S,1,4,-,"9902 3rd Ave APT 2K, Brooklyn, NY 11209",NAN,2021-10-19
"$650,000",4,3,-,-,"137-08 175th St, Jamaica, NY 11434",NAN,2021-10-19
"$329,000",1,1,-,-,"147-35 38th Ave #B61, Flushing, NY 11354",NAN,2021-10-19
"$1,799,000",2,2,1,-,"638 President St APT 2, Brooklyn, NY 11215",NAN,2021-10-19
"$2,350,000",2,2,1,-,"1 Prospect Park W #5G, Brooklyn, NY 11215",NAN,2021-10-19
"$2,250,000",5,2,2,-,"138 Midwood St, Brooklyn, NY 11225",NAN,2021-10-19
"$1,150,000",2,1,-,-,"878 W End Ave APT 10B, New York, NY 10025",NAN,2021-10-19
"$1,350,000",2,2,-,-,"185 W End Ave APT 27D, New York, NY 10023",NAN,2021-10-19
"$695,000",3,2,1,-,"360 Fairbanks Ave, Staten Island, NY 10306",NAN,2021-10-19
"$199,000",1,-,9,-,"10206 163rd Rd, Jamaica, NY 11414",NAN,2021-10-19
"$919,000",2,1,-,-,"394 Kosciuszko St APT 4A, Brooklyn, NY 11221",NAN,2021-10-19
"$305,000",1,1,-,-,"33-26 82nd St #G1, Jackson Heights, NY 11372",NAN,2021-10-19
"$25,000,000",4,5,5,-,"15 E 30th St PENTHOUSE 60A, New York, NY 10016",NAN,2021-10-19
"$1,125,000",1,1,8,-,"510 Driggs Ave #4H, Brooklyn, NY 11211",NAN,2021-10-19
"$1,749,000",2,2,-,-,"300 E 40th St APT 20B, New York, NY 10016",NAN,2021-10-19
"$1,425,000",1,2,9,-,"247 W 46th St #902, New York, NY 10036",NAN,2021-10-19
"$420,000",S,1,-,-,"244 Madison Ave APT 5F, New York, NY 10016",NAN,2021-10-19
"$299,000",2,1,-,-,"83-77 Woodhaven Blvd APT 6B, Woodhaven, NY 11421",NAN,2021-10-19
"$289,900",2,3,-,-,"193-15 37th Ave #177, Flushing, NY 11358",NAN,2021-10-19
"$918,000",6,2,-,-,"2311 123rd St, Flushing, NY 11356",NAN,2021-10-19
"$699,900",5,2,1,-,"17123 119th Ave, Jamaica, NY 11434",NAN,2021-10-19
"$1,899,999",8,7,2,-,"656 Classon Ave, Brooklyn, NY 11238",NAN,2021-10-19
"$795,000",1,1,-,-,"15 W 72nd St APT 2N, New York, NY 10023",NAN,2021-10-19
"$159,000",1,1,8,-,"897 Empire Blvd APT F1, Brooklyn, NY 11213",NAN,2021-10-19
"$629,000",2,2,-,-,"133-31 86th St, Ozone Park, NY 11417",NAN,2021-10-19
"$570,000",3,3,1,-,"(undisclosed Address), Bellerose, NY 11426",NAN,2021-10-19
